Unnamed: 0,French,English
0,chercher,search
1,seulement,only
2,police,police
3,pensais,thought
4,aide,help
5,demande,request
6,genre,kind
8,laisser,let
10,mettre,to put
12,eux,them
13,chaque,each
15,longtemps,long time
16,heures,hours
17,pendant,while
19,place,square
20,parle,speak
21,compris,understood
22,étaient,were
23,attention,Warning
24,affaire,case
25,donner,give
26,leurs,their
27,train,train
28,corps,body
29,endroit,place
30,yeux,eyes
32,dont,whose
33,premier,first
34,main,hand
35,vieux,old
36,sois,be
37,tiens,here
38,enfant,child
39,point,point
40,suite,after
41,devant,in front of
42,vers,towards
43,minutes,minutes
44,chambre,bedroom
45,mis,placed
46,belle,beautiful
47,droit,law
48,aimerais,would like to
50,enfin,finally
51,eau,water
52,attendez,Wait
55,terre,Earth
58,fin,end
59,croire,believe
60,chérie,sweetheart
61,gros,large
62,aura,will have
